timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168446.949,-969.238,-74.219,0.000,-19.043,44.434
1711168446.953,-969.727,-75.684,0.000,-22.949,24.902
1711168446.957,-881.348,-71.289,0.000,-8.301,56.641
1711168446.960,-868.652,-72.266,0.000,16.113,91.309
1711168446.964,-921.387,-73.242,-379.883,35.156,80.078
1711168446.968,-845.703,-65.430,-353.516,30.273,91.309
1711168446.972,-744.141,-64.453,-335.449,43.945,53.223
1711168446.976,-737.305,-68.848,-315.918,62.500,65.430
1711168446.980,-761.230,-66.895,-289.062,65.430,77.148
1711168446.984,-688.965,-61.523,-261.719,87.891,75.195
1711168446.988,-550.781,-51.270,-233.887,103.027,87.891
1711168446.992,-459.473,-41.504,-214.844,83.496,38.086
1711168446.996,-401.367,-40.527,-197.266,73.242,30.762
1711168446.999,-243.164,-37.598,-160.645,85.449,62.988
1711168447.003,-6.836,-35.156,-130.859,95.215,32.715
1711168447.007,163.574,-34.668,-101.562,107.910,21.973
1711168447.011,248.535,-31.250,-55.176,100.098,75.684
1711168447.015,363.281,-29.297,-29.785,88.867,67.871
1711168447.019,548.340,-29.297,-22.949,97.168,42.480
1711168447.023,700.195,-27.344,-17.090,116.211,64.453
1711168447.027,726.074,-23.926,-9.766,124.512,39.062
1711168447.031,743.164,-23.926,2.441,97.656,32.227
1711168447.035,827.637,-23.438,11.719,89.355,30.762
1711168447.039,881.348,-22.461,18.555,103.516,-14.648
1711168447.042,796.875,-28.809,25.391,101.562,-2.441
1711168447.046,579.590,-33.203,29.785,95.215,-2.441
1711168447.050,410.156,-32.227,36.621,114.258,-14.160
1711168447.054,327.148,-29.297,43.457,109.863,53.711
1711168447.058,207.031,-29.297,44.434,96.191,78.125
1711168447.062,45.898,-29.297,43.457,99.609,38.086
1711168447.066,-52.246,-26.367,43.945,109.375,35.645
1711168447.070,-99.121,-22.461,44.922,124.512,16.113
1711168447.074,-205.078,-16.602,53.711,132.324,35.156
1711168447.078,-373.535,-13.184,63.477,111.328,81.543
1711168447.082,-465.332,-10.742,74.707,67.383,27.344
